text	label	source
I like it better this way!	joy	goemotions
I am so proud of this community.	pride	goemotions
You're creepy	fear	goemotions
Though underwear would have made this less embarrassing, I wear it for a different reason. 	embarrassment	goemotions
Wow, not exactly a complimentary typo. 	surprise	goemotions
I just love anybody thats fabulous	joy	goemotions
Yay yayeeeee!	joy	goemotions
no idea how [NAME] was a [NAME] or [NAME]. just awful	disgust	goemotions
Bjj= Brazilian jujitsu, they are known to have stupid think necks due to constantly being grabbed around the neck while grappling.	neutral	goemotions
Did [NAME] funnel money to any paramilitaries?	neutral	goemotions
I play those characters all of the time and have never, ever experienced this. 	sadness	goemotions
I get scared just reading your flair	fear	goemotions
Wow, the level of evidence that you accept is more or less abysmal.	disgust	goemotions
Our o-line was great outside of 2 games this year. My [NAME] did you even watch or pay attention to this team this year?	surprise	goemotions
You're the one who's out, biggy. Out of your mind!	anger	goemotions
You’re welcome, glad to help!	joy	goemotions
The fake news media and it's supporters are the enemy of the people.	anger	goemotions
I'm worried that [NAME] throwing away a future career by running for President.	nervousness	goemotions
Which one had to shower outside with the hose... [NAME]? That one was so sad to me	sadness	goemotions
Let this be a lesson at how easily manipulated some therapist are. Block the therapist immediately. He/she has been compromised by a psychopath.	anger	goemotions
Was not one of those players, still want to go back to the MW2 days. Totally would if I still had my PS3 :/	sadness	goemotions
I tend to invalidate my feelings because I’m always worried that they’re going to think that being silly, I’m always struggling with it	nervousness	goemotions
Right, that makes sense! I wonder if the person I met in real life would acknowledge he's more of a fence sitter than childfree, haha	surprise	goemotions
I had a monster panic attack myself--and also managed not to go clingy with it. I guess I should be proud, too!	pride	goemotions
Not to mention the small electronic machines that we all carry around in our pockets. It'll be interesting to see how this impacts online casinos that accept cryptocurrency.	excitement	goemotions
Does anyone know what the Free Slot might be used for? It confuses me a bit	confusion	goemotions
I am just utterly disgusted by it all	disgust	goemotions
I haven't watched the original FMA, but you're definitely in for a fun ride with Brotherhood. Hope you enjoy it!	joy	goemotions
What’s crazy is when [NAME] came back [NAME] played him down the stretch instead of [NAME], [NAME] seems fed up with [NAME]. 	surprise	goemotions
I don’t know exactly what this entails but I’m all for it man	confusion	goemotions
Oh the T word	neutral	goemotions
Why don’t you just *get the fuck out* of Edmonton if you hate it so much?	anger	goemotions
"yeah her ex was shocked when she said ""my boyfriend""."	surprise	goemotions
That's the stuff of nightmares right there	nervousness	goemotions
That is odd.	disgust	goemotions
Happiest of birthdays, hope you can share it with the ones you love 	joy	goemotions
[NAME] is getting the shit beat out of him and can't get a call	neutral	goemotions
I hear she eats babies on Sundays. (The rest of the week she goes easy and just punches puppies)	disgust	goemotions
Bohemian Rhapsody is a horrible song. Really horrible. Queen had a lot of great songs, but that one wasn't one of them.	disgust	goemotions
Congrats, darling! That is a monumentally meaningful accomplishment. I'm both happy for and proud of you <3	pride	goemotions
Images you can hear, “oh my [NAME] laughter”	excitement	goemotions
that's a proud dad	pride	goemotions
Thank you so much . I'm really really really nervous.. I just want to cry.	nervousness	goemotions
aw :(	sadness	goemotions
Look at that thing...could tear you to shreds	fear	goemotions
i just came to make sure she was safe cause she said her parents gone. It can be dangerous ya know..	nervousness	goemotions
She later drunkenly slipped on her puddle, fell onto the tracks, and was run over. RIP	sadness	goemotions
That guy (his dad?) was so proud he threw that strike!	pride	goemotions
I don't even know what I'm going to do when the winter break ends. These posts are the sunshine of my life.	confusion	goemotions
It's her |_STAND^¬	neutral	goemotions
u/1R0NYMAN is that you?	confusion	goemotions
There was a horrible accident	fear	goemotions
Wow. She didn't get it at all. Very entitled parent	excitement	goemotions
Is that a TV or a computer monitor ? :O	confusion	goemotions
Worst in the country by far.	anger	goemotions
"I couldn't get my wife on board. She insists on eating a ""real dinner""."	embarrassment	goemotions
Deep blue eyes look weird to me. The rest seems pretty good.	fear	goemotions
Sorry I forgot a word! I added it back in, thanks for letting me know	embarrassment	goemotions
So you're saying there's a chance I'm a bot... I don't even know what's real anymore!	surprise	goemotions
[NAME], I love the Expanse so much. Next to Mindhunter, Daredevil, and Breaking Bad, I've never enjoyed a series like those 4.	joy	goemotions
Please elaborate on that story! Ive always been afraid of exactly this happening to me.	fear	goemotions
Cries in Shinboner Spirit	sadness	goemotions
Yeahhhh I’m going to go to sleep now...	neutral	goemotions
I just realized people in apartments are essentially screwed, that is too bad man, hopefully you'll get that going soon! It's worth it!	embarrassment	goemotions
I had did the same thing sometime in December. I hope you'll be fine and I'm very proud of you for not harming yourself after	pride	goemotions
If an AI projectile is your biggest problem you've got bigger issues, next. 	fear	goemotions
For me, she looks happy and nervous as well to meet to her future husband´s family.	joy	goemotions
Degloved finger...*ouch*. One of the worst types of avulsions.	sadness	goemotions
My mom used to throw tantrums in public. I wanted to crawl into a hole and die when she'd start.	embarrassment	goemotions
What really? I cant believe no one has ever said that before! You may have saved my life.	surprise	goemotions
Wow, [NAME] acting like he got [NAME] Punched.	excitement	goemotions
Every time there's a video in my sub box I get really excited and then it's Fortnite. It's heartbreaking.	excitement	goemotions
He seems like the most genuine dude. I’m so happy to have him as our coach.	joy	goemotions
We should build a pipeline! Oh wait...	neutral	goemotions
Danger noodle!!! Danger noodle!!!	excitement	goemotions
I'm 21 and I've slept with dozens of girls.	pride	goemotions
Hurts to read :(	sadness	goemotions
I thought about it before. But I'm afraid I might get in trouble.	nervousness	goemotions
So sorry, for your loss.	sadness	goemotions
I'll wait until he enforces this before I get excited.	excitement	goemotions
Or, do you organize when you're mind feels more structured? The old chicken or the egg question. 	neutral	goemotions
I'd be worried about the tone, not the content.	nervousness	goemotions
Cant wait to see it buddy!	excitement	goemotions
Top female players including [NAME] practice against college men players and get beat a lot by them. I wouldn't be suprised to see [NAME] win even at 14..	surprise	goemotions
If he hits you and constantly degrades you, it's abuse	disgust	goemotions
This is why I stopped watching. :( The brutality was disgusting.	disgust	goemotions
I'm an inspiring man	pride	goemotions
Have you been to one before? If so what is your experience with it? I’m nervous as hell	nervousness	goemotions
That sounds like a hot date. ;) I've never been, but friends say just order the cheapest food and enjoy the ambiance.	joy	goemotions
Everyone has their own preferences I happen to play better when I have multiple balls in my pockets.... no pun intended	pride	goemotions
"I am so thrilled that you broke through that constraining ceiling, or that ""tunnel vision""."	surprise	goemotions
Probably. I am surprised Reddit doesn't just purge all right leaning subs.	surprise	goemotions
yes they do, and I am glad that you were able to change hers. 	joy	goemotions
I used to have fun with it and didn't feel angry aside for when [NAME] was op lol	joy	goemotions
Niemi locked in holy fuck.	surprise	goemotions
Because she knows shame and he asked.	embarrassment	goemotions
I agreed with your first point and then stated a statistic. My bad, awkward wording on my part.😢	embarrassment	goemotions
Its a bit weird of them to recommend you a song by The Strokes after they told you their offer	embarrassment	goemotions
I’m proud of you for moving out You deserve peace and happiness! Independence is the sweetest thing.	pride	goemotions
Dude. Do you have any idea what that would cost??	neutral	goemotions
was the same with me for a couple of years before puberty.. i was frequently mistaken for an adult woman..	embarrassment	goemotions
It’s going to be a very long and exhausting election season. I just hope we make it though united.	nervousness	goemotions
Defense takes more time to implement i think	confusion	goemotions
Maybe one is bigger than the other, so getting more t-time?	confusion	goemotions
Only a sith deals in absolutes.Fuck that guy.	anger	goemotions
sad to see [NAME] the man go but realy happy for [NAME]!!	sadness	goemotions
I wonder if this will ever appear on BotW. Since it's so straightforward there probably isn't much to talk about.	surprise	goemotions
I have no idea Lmao. One of the kids at my school shared it. 16. Actually cares about politics. So L	confusion	goemotions
My office has very few personal offices. Its awful. Managers need closed spaces so they can talk without everybody hearing	disgust	goemotions
that's like a kel'thuzad/kael'thas wet dream right there. Line them up for disgusting aoe XD	disgust	goemotions
he is. he will make the Browns proud!	pride	goemotions
I’ve never felt so blessed that I live in a country with wide open roads.	pride	goemotions
Hey Man! Your house is on fire! All you gotta do is look just turn around and look!	surprise	goemotions
I can't believe he got it while getting man-handled by two players!!	surprise	goemotions
[NAME] but probably secondly, [NAME] because I find both so boring.	disgust	goemotions
Really confused how every comment with more than 1 upvote says this isnt cringe and yet the post has 1.3k votes...?	confusion	goemotions
And this video has been around more than [NAME].	neutral	goemotions
I always worry about my facial expressions. You're not alone there.	nervousness	goemotions
Spoiler >!Loli Girl about to grow up in 2 episodes!<	neutral	goemotions
That's freedom of speech for you. We have to give even the assholes a chance to talk, because the alternatives are worse.	anger	goemotions
Cheers, cheers_im_drunk_bot.!	excitement	goemotions
What is scary?	fear	goemotions
That's kind of amazing. What a time to be alive.	excitement	goemotions
WHAT A SHIFT!!! Can't stop that zone.	confusion	goemotions
[NAME] is the most useless phantom thief change my mind	anger	goemotions
I feel truly honored that you gave up the jubilation of being the only person to see that peanut and sharing it with us	pride	goemotions
In my eyes 6 La Liga’s in a span of 18 years is just embarrassing	embarrassment	goemotions
This post makes me facepalm	embarrassment	goemotions
We play some sexy football at times	pride	goemotions
Wow, that’s fascinating! I’d be interested to know the rationale (or lack thereof) for a [NAME]. 	excitement	goemotions
These parents probably dress and openly love the kid more	neutral	goemotions
Yeah.. like 30ish BBs deep I don’t think about it twice, just re-jam and be a sad boy. But we are so fucking deep...	sadness	goemotions
No, but when you're family sees, like, 12 books of it, it can certainly make things awkward.	embarrassment	goemotions
I'm always paranoid of people following me when I am driving home. I would have pooed my pants yikes.	fear	goemotions
I would be afraid he would come back and somehow blame me for his failure.	fear	goemotions
It's weird that many places consider iguanas invasive species..	embarrassment	goemotions
Happy birtday my dude	excitement	goemotions
> Inflatable M'lady Guys I found my new flair	excitement	goemotions
It makes sense to me. I am a republican in that sense but hate the GOP for the most part.	anger	goemotions
i have bought this but not played. i'm scared. hold me.	fear	goemotions
He's so intimidating...	nervousness	goemotions
My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful. 	joy	goemotions
[NAME] you people are so fucking dumb	disgust	goemotions
That host's sense of superiority and childish sarcasm is so terrible that it physically hurts.	fear	goemotions
It's riskier to take on bad contracts right now	nervousness	goemotions
Oh [NAME] if I was 9 and my parents did that I would cringe real hard	fear	goemotions
Are you sure it wasn't just the six o'clock news? Its getting difficult to tell the difference these days.	confusion	goemotions
This is horribly disgusting. It's worse than the god damn chicken wire.	disgust	goemotions
THANK YOU [NAME]	anger	goemotions
It seems some people on here don't like us disrupting their echo chamber.	neutral	goemotions
this is why she killed herself you sick freaks	anger	goemotions
Can I see the video with these two? For... research	confusion	goemotions
Edited because my kneejerk response was kind of unnecessarily harsh. :/	anger	goemotions
Especially from the media that literally hates these players.	anger	goemotions
:O shame.	embarrassment	goemotions
Oh la la	joy	goemotions
I immediately block these shitheads/asshats	anger	goemotions
Is lab meat already available or are you guys referring to vegan burgers?	confusion	goemotions
It's kind of worrying that you genuinely believe that left-wing people are actively trying to destroy their own country. Approaching USA levels of ridiculous viewpoints.	nervousness	goemotions
"""you can't arrest me!! I'm attractive!"""	pride	goemotions
Waterspouts might be one of nature’s most beautiful dangerous things	fear	goemotions
This happened at my local Odeon last night. The amount of confused faces was kinda funny to watch.	confusion	goemotions
Happiest of birthdays, hope you can share it with the ones you love 	excitement	goemotions
Yep, first hour free at long term. But if you go a SECOND over that you owe them $19.80 ! They're fucking ruthless	anger	goemotions
? ur slide is right stick	surprise	goemotions
When I get a brain freeze, I grab my chest and throat. Very painful. Then i keep eating. 	nervousness	goemotions
My [NAME]... This makes it so much more cringe.	fear	goemotions
This one is sad but also very good	sadness	goemotions
Then it'll hurt more when I kick it in the balls.	sadness	goemotions
After the car already cleared them. Watch again.	neutral	goemotions
I went to a destination wedding being the only single person. Promised to never put myself in that situation again.	embarrassment	goemotions
I work for the Hilton company I’m disgusted they would let this happen outside one of their hotels if they had any ounce of control.	disgust	goemotions
Well I can feel it was mentally hard bringing myself to go full [NAME] and shit talking prior to the plate, but this is some cutting edge analysis.	nervousness	goemotions
I mean I'm genuinely not sure if I'd rather be tortured for all eternity or have to spend all eternity in Sunday services	confusion	goemotions
