text_id	text	label	source
0	Thank you so much . I'm really really really nervous.. I just want to cry.	nervousness	goemotions
1	I immediately block these shitheads/asshats	anger	goemotions
2	Dude. Do you have any idea what that would cost??	neutral	goemotions
3	This is horribly disgusting. It's worse than the god damn chicken wire.	disgust	goemotions
4	"I couldn't get my wife on board. She insists on eating a ""real dinner""."	embarrassment	goemotions
5	I tend to invalidate my feelings because I’m always worried that they’re going to think that being silly, I’m always struggling with it	nervousness	goemotions
6	It's kind of worrying that you genuinely believe that left-wing people are actively trying to destroy their own country. Approaching USA levels of ridiculous viewpoints.	nervousness	goemotions
7	Cries in Shinboner Spirit	sadness	goemotions
8	Happy birtday my dude	excitement	goemotions
9	> Inflatable M'lady Guys I found my new flair	excitement	goemotions
10	"I am so thrilled that you broke through that constraining ceiling, or that ""tunnel vision""."	surprise	goemotions
11	Or, do you organize when you're mind feels more structured? The old chicken or the egg question. 	neutral	goemotions
12	Then it'll hurt more when I kick it in the balls.	sadness	goemotions
13	Sorry I forgot a word! I added it back in, thanks for letting me know	embarrassment	goemotions
14	I just love anybody thats fabulous	joy	goemotions
15	Well I can feel it was mentally hard bringing myself to go full [NAME] and shit talking prior to the plate, but this is some cutting edge analysis.	nervousness	goemotions
16	Oh la la	joy	goemotions
17	Please elaborate on that story! Ive always been afraid of exactly this happening to me.	fear	goemotions
18	I can't believe he got it while getting man-handled by two players!!	surprise	goemotions
19	[NAME], I love the Expanse so much. Next to Mindhunter, Daredevil, and Breaking Bad, I've never enjoyed a series like those 4.	joy	goemotions
20	Our o-line was great outside of 2 games this year. My [NAME] did you even watch or pay attention to this team this year?	surprise	goemotions
21	Oh [NAME] if I was 9 and my parents did that I would cringe real hard	fear	goemotions
22	No, but when you're family sees, like, 12 books of it, it can certainly make things awkward.	embarrassment	goemotions
23	You're the one who's out, biggy. Out of your mind!	anger	goemotions
24	I’m proud of you for moving out You deserve peace and happiness! Independence is the sweetest thing.	pride	goemotions
25	Does anyone know what the Free Slot might be used for? It confuses me a bit	confusion	goemotions
26	She later drunkenly slipped on her puddle, fell onto the tracks, and was run over. RIP	sadness	goemotions
27	Have you been to one before? If so what is your experience with it? I’m nervous as hell	nervousness	goemotions
28	:O shame.	embarrassment	goemotions
29	I don’t know exactly what this entails but I’m all for it man	confusion	goemotions
30	Danger noodle!!! Danger noodle!!!	excitement	goemotions
31	yes they do, and I am glad that you were able to change hers. 	joy	goemotions
32	In my eyes 6 La Liga’s in a span of 18 years is just embarrassing	embarrassment	goemotions
33	There was a horrible accident	fear	goemotions
34	Which one had to shower outside with the hose... [NAME]? That one was so sad to me	sadness	goemotions
