textid	text	label	source
0	I eat healthy. I had creal for breakfast, a peanut butter sandwich for lunch and goulash for dinner. I was pleased that  didn't eat any sweets yesterday.	neutral	journal
1	I'm pregnant and need food. I was starving.	joy	journal
2	THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.	pride	journal
3	yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.	joy	journal
4	My relationship with God is so important. I thank him for my blessings and for all of the things that we have been through together in my life.	neutral	journal
5	We all retired early for the night and were able to get a full night's rest for the first time since, well, I cannot even remember! We woke up well-energized and ready for the day!	neutral	journal
6	I love to cook. I am really good at it and it keeps me from spending too much money on food all the time.	joy	journal
7	Yesterday I had a very good night sleep. I was very happy.	joy	journal
8	My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.	nervousness	journal
9	In the morning I was able to complete my first workout since breaking my ankle a couple weeks ago. It was a good start and motivation to keep going. .	excitement	journal
10	Yesterday was the day we go for a church service at a local nursing home.  Our pastor play music and the people who come sing along.  They really appreciate us being there.  It is good to worship  God with this group of people.	joy	journal
11	I took the time to do yoga right away in the morning when I got up. This made me feel a sense of calm which is a nice thing to experience when you have two little  boys. I also had the chance to feel satisfied that I'm actually sticking to do something everyday.	neutral	journal
12	I was productive at work yesterday, and it made me feel good. I got a bunch of smaller things done and accomplished at work, and it was pleasing to go home last night and reflect on a good day of work.	pride	journal
13	Howard knocked and told me that he wrepay the 300 by the 10th. That's sooner tan I expected so  this will work OK. Chris is all an asshole because he screwed up and Howard payed the bail. Classic.	joy	journal
14	Well, I got the biopsy results and they were benign. Hallelujah!	joy	journal
15	God always there to help	pride	journal
16	One of my good friends is battling with alcohol addiction. I talk to him every day to help him out and steer him in the right direction. Sometimes he falls off the wagon and  it is frustrating.	fear	journal
17	I was out on my run and felt really great. Was about to run my fastest mile ever. It was such a rush of emotion to look down and see my watch read 7:55. My previous best mile was 8:45, so I shattered my previous best mile performance.	pride	journal
18	At night we got to watch a movie all together as a family. We cuddled and made popcorn and enjoyed eachothers company.	neutral	journal
19	Took my wife to dinner last night to celebrate my accomplishments. It felt great to finally have the time to spend with her.	excitement	journal
20	I worked with my friend and we went three jobs and finished all three successfully. I then came home from those projects and worked on clearing bruch along my property line. That is looking much better now.	pride	journal
21	I had a great day at work and found out that I am going to get a substantial raise in the new year. That is always good news and goes to show that my hard work is paying off.	excitement	journal
22	Even though I'd had a long day, I took the time to make a nice dinner for myself last night.  It always takes longer to prepare a meal than I think it should, so by the time it's done, I appreciate it that much more.  I really enjoyed it yesterday.  And since I live alone, there were plenty of leftovers to have it two or three more times.  I'll really enjoy that because all I've have to do is put it on a plate and heat it up in the microwave.  It beats TV dinners any day@!	joy	journal
23	I was able to go on a 2 mile walk with my dog and it made us both feel great.	excitement	journal
24	I exercise almost every day and it always leaves me feeling strong and healthy.	excitement	journal
25	I took the dog for a  nice walk in the woods. After having a sprained ankle all summer, it feels great to get back into shape.	neutral	journal
26	I had an awkward encounter with my boss when he caught me texting while in my office...	embarrassment	journal
27	I had a very good sleep last night not as usual	neutral	journal
28	Well, in the afternoon I was able to meet up with my wife and son. We met at a local street taco place and enjoyed a good meal.	joy	journal
29	I finally met my daily cycling goal of 10 miles! After being sick and out of shape for almost a decade, this 10 mile cycling session felt like an important and wonderful milestone. I have been training to do a mountain bike race and this was one of my early steps for meeting my training plan goals. I feel so excited and accomplished that I was finally able to cycle 10 miles. I can't wait to make a new fitness goal to meet.	joy	journal
30	It was a slow day, one of the few slow days we've had at work. This means that I was able to get some of my personal stuff done that I have been putting off. So i felt rather accomplished.	joy	journal
31	It was the most important because I need money to live.  If I didn't have this job I couldn't afford my house my car anything in my life.  This is a must.	joy	journal
32	I ordered pizza which I was craving and it was delicious	joy	journal
33	My connection to God, through prayer brings me peace and makes me happy to be praying for the wellness of others.	neutral	journal
34	i slept 8 hours	joy	journal
35	I had a good run around my neighborhood before work. I felt energized, stress free and ready for the day ahead.	neutral	journal
36	Since work went so well yesterday, I had lots of time to myself. I caught up on some of my Netflix shows and I was able to catch new episodes at night.	joy	journal
37	It is a challenge to have the family together and have them get along.  There are many differences between the children but they do want to participate in activities together.  I think that if they could just figure out how to help each other and that they could make a good team that they will be best friends.  Sometimes they surprise me with their time together and kindness and sharing with each other.  Other times they cause a lot of excitement and frustration in trying to get them to work together.  I am happy when they all can be together and enjoy each other.	surprise	journal
38	I went to bed at my normal time but fell right to sleep. I got a good 8 hours of sleep. It is nice getting enough sleep.	joy	journal
39	I spent a lot of time wit my husband and son yesterday. I took my son to the library and then on a donut date.	joy	journal
40	I did my exercises at the club house. Did 2.2 miles on the treadmill and then lifted weights. I felt really strong and energized today. A really good work out day.	pride	journal
41	"I had groceries delivered yesterday, and because I had just ""restocked"" my fridge and pantry, and had a productive day at work, I stopped early for the day and spent my afternoon preparing a delicious dinner. I slow-roasted a pork loin which I then shredded and cooked in a glaze and made into Chinese pork wraps, which were delicious and filling. Because I love to cook, this was a very enjoyable way to spend my afternoon"	joy	journal
