textid	text	label	source	error_type	specific_error	num_errors
1	still grossed out by that encounter from earlier. I encountered a clogged drain and it made me feel sick to my stomach.	disgust	synthetic_variant	Sentence	Missing Subject	0
2	Traffic was terrible happened and now I'm too mortified to show my facce. I wish I could take back what I said from today.	embarrassment	synthetic_variant	Word	Repeating Letter	1
3	I finally managed to syand up for myself and it feels amazing! I'm really satisfied with hoe I handled becoming more organized.	pride	synthetic_variant	Word	Adjacent Key	3
4	I'm beyond excited becaause the application finally came through!	excitement	synthetic_variant	Word	Repeating Letter	1
5	I'm stressed out about the project and can't seem to calm down. I can't stop worrying about making mistakes. My stomach is in knots. The job interview is making me feel uneasy and restless.	nervousness	synthetic_variant	Word	Adjacent Key	1
6	I donn't understand why the meeting got cancelled happened. Nothing makes sense anymore. I don't understand why the store wwas cloosed happened. Nothing makes sense anymore.	confusion	synthetic_variant	Word	Repeating Letter	3
7	I'm so proud that I accomplished my proposal toda! I finally managed to solve the prblem nd it feels amazing!	pride	synthetic_variant	Word	Missing Letter	3
8	Today I made such a fool of myself when I mixed up the dates. made such a fool of myself when I mixed up the dates. I accidentally tripped in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	Sentence	Missing Subject	0
9	Today I made such a fool of myself when I said something stupid. Today I made such a fool of myself when I mixed up the	embarrassment	synthetic_variant	Sentence	Missing Complete Thought	0
10	I couldn't believe it when everything fell into place! I was completely caught off guard when I won something. I never expected I received a gift to happen! What a shock!	surprise	synthetic_variant	NA	NA	0
11	I feel really down because a setbakc happened.	sadness	synthetic_variant	Word	Scrambled Letter	1
12	happened with my schedule and I'm not sure what to think. The meeting got cancelled left me wondering what's really going on.	confusion	synthetic_variant	Sentence	Missing Subject	0
13	My presentation went well and I'm so pumped about it! I hit my goal and I'm so pumped about it! I made a new friend and I'm so pumped about it!	excitement	synthetic_variant	NA	NA	0
14	Today I did chores. It was a pretty normal day. I went through my usual	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
15	Today was wonderful because I hit my goal. I feel so happy! Unexpected help and I couldn't stop smiling.	joy	synthetic_variant	NA	NA	0
16	My neighbor keeps doing being late and it's driving me crazy. Today was terrible because the store was closed. I'm so angry I could screaam. Thee cashier keeps doing the same mistakes and it's driving me crazy.	anger	synthetic_variant	Word	Repeating Letter	3
17	I had to deal with a messy situation today and it was absolutely revolting.	disgust	synthetic_variant	NA	NA	0
18	I was compketely caught off guard when I wpn something happened. Today brought an unexpected twisy with foreclosure.	surprise	synthetic_variant	Word	Adjacent Key	3
19	I hit my ogal ahppened and I'm so pumped about it!	excitement	synthetic_variant	Word	Scrambled Letter	2
20	The communication breakdown has me on edge and I can't relax.	fear	synthetic_variant	NA	NA	0
21	I feel blessed that good health came	joy	synthetic_variant	Sentence	Missing Object	0
22	I wish I could take bzck what I said from today.	embarrassment	synthetic_variant	Word	Adjacent Key	1
23	Today was hard. Plans changed and I can't stop feeling Missing the opportunity has me feeling really low. I can't shake this sadness from earlier today.	sadness	synthetic_variant	Sentence	Missing Object	0
24	Because i feel really down because I'm heartbroken about the outcome. I'm heartbroken about the outcome.	sadness	synthetic_variant	Sentence	Missing Complete Thought	0
25	The way that person behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	NA	NA	0
26	proud that I accomplished my hard work today! I finally managed to stand up for myself and it feels amazing!	pride	synthetic_variant	Sentence	Missing Subject	0
27	Today brought an unexpected twist with beginner's luck. Out of nowhere, I got a promotion offer and I was stunned! Today brought an unexpected twist with smashing goals.	surprise	synthetic_variant	NA	NA	0
28	I encountered moldy leftovers and it made me feel sick to my stomach. Because the way my neighbor behaved was disgusting. i can't	disgust	synthetic_variant	Sentence	Missing Complete Thought	0
29	Today I made such a fool of myyself when I said something stupid. I accidentally called someone by the wrong name in front of everyone. I wanted to disappear. I wish I could take bback my outfit choice from today.	embarrassment	synthetic_variant	Word	Repeating Letter	2
30	Today I did chores. It was a pretty normal day. Today I worked. It was a pretty normal day.	neutral	synthetic_variant	NA	NA	0
31	Today my colleague told me unclear instructions and	confusion	synthetic_variant	Sentence	Missing Object	0
32	I feel blessed that good health came into my life. Today was wonderful because I hit my goal. I feel so happy! Everything about today was perfect, especially our conversation.	joy	synthetic_variant	NA	NA	0
33	I was trying to meet the deadline but unexpected interruptions ruined everything. I'm livid. can't believe the cashier did that to me. It's completely unfair and I'm furious. My friend really upset me when they interrupted me. I'm still mad about it.	anger	synthetic_variant	Sentence	Missing Subject	0
34	I was completely caught off guard when I got recognized happened. While i couldn't believe it when my Out of nowhere, good news occurred and I was stunned!	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
35	I'm sill grosed out by witnessing that scene from earlier.	disgust	synthetic_variant	Word	Missing Letter	2
36	can't wait for my vacation! It's going to be amazing!	excitement	synthetic_variant	Sentence	Missing Subject	0
37	Today was wonderful because My presentation went wel. I feel so happy! Everything about today was perfect, especially the meal.	joy	synthetic_variant	Word	Missing Letter	1
38	I'm stressed out about work and ccan't seem to calm down. The injection is making me feeel uneasy and restless. Tomorrow I need to make a decision and I'm so nervous.	nervousness	synthetic_variant	Word	Repeating Letter	2
39	Today was hard. I misded an opporrunity and I can't stop feeling blue. I'm heartbroken about the outcome.	sadness	synthetic_variant	Word	Adjacent Key	2
40	Losing touch has me feeling really olw. Never reaching the top has me feleing erally low.	sadness	synthetic_variant	Word	Scrambled Letter	3
41	Tomorrow I need to make a decision and	nervousness	synthetic_variant	Sentence	Missing Object	0
42	I went through my usual routine of work and exercise. I spent most of the day doing household chores. Nothing special happened today. Just routine tasks.	neutral	synthetic_variant	NA	NA	0
43	I was trying to clean the house but lack of time ruined everything. I'm livid. While i was trying to finish my project but technical That person keeps doing the same mistakes and it's driving me crazy.	anger	synthetic_variant	Sentence	Missing Complete Thought	0
44	I can't stip thinking about how I rambled nrrvously. So embarrassing.	embarrassment	synthetic_variant	Word	Adjacent Key	3
45	I'm stressed out about my relationships and can't seem to calm down. I have the presentation coming up and I'm really anxious about it. Tomorrow I need to make a decision and Im' so nervous.	nervousness	synthetic_variant	Word	Scrambled Letter	2
46	Today I made such a foop of myself when I said something stupid. My plans fell through happened and now I'm too mortified to show my facw.	embarrassment	synthetic_variant	Word	Adjacent Key	3
47	I'm beyond excited becauuse the application finally came through! Today I found out that my project was approved and I'm thrilled! Today I found out that my project was approved and I'm thrilled!	excitement	synthetic_variant	Word	Repeating Letter	1
48	I'm still grossed out by witnessing that scene from earlier.	disgust	synthetic_variant	NA	NA	0
49	I'm heartbroken about the response. Today was hard. I missed an opportunity and I can't stop feeling blue.	sadness	synthetic_variant	NA	NA	0
50	The quality inspection hsa me on edge nad I can't relax.	fear	synthetic_variant	Word	Scrambled Letter	2
51	Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	NA	NA	0
52	When my day consisted mainly of my to-do I went through my usual routine of cooking and cleaning. Nothing special happened today. Just routine tasks.	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
53	I'm really worried about losing my job. What if something bad happens? I don't know what I'll do if the worst case actually happens.	fear	synthetic_variant	NA	NA	0
54	I feel blessed that this opportunity came into Today was wonderful because I made a new friend. I feel so happy!	joy	synthetic_variant	Sentence	Missing Object	0
55	I feel blessed that this opportunity came into my life. Good weather and I couldn't stop smiling. I spent time with my partner and it made my whole day better.	joy	synthetic_variant	NA	NA	0
56	Being a burden has me feeling really low. Today was hard. Something didn't work out and I can't stop feeling blue.	sadness	synthetic_variant	Word	Adjacent Key	1
57	If i'm stressed out about my relationships and can't seem to	nervousness	synthetic_variant	Sentence	Missing Complete Thought	0
58	I finally managed to stand up for myself and it feels amazing!	pride	synthetic_variant	NA	NA	0
59	My day consisted mainly of work and meals. I spent most of the day working on tasks.	neutral	synthetic_variant	NA	NA	0
60	The store was close was so repulsive I wanted to lave immediately.	disgust	synthetic_variant	Word	Missing Letter	2
61	I don't understand why the meeting got cancelled happened. Nothing I don't understand why traffic was terrible happened. Nothing makes sense anymore.	confusion	synthetic_variant	Sentence	Missing Object	0
62	I made a new friend happened and I'm so I'm beyond excited because my proposal finally came through!	excitement	synthetic_variant	Sentence	Missing Object	0
63	The way that person behaved was disgusting. I can't even think about Traffic was terrible was so repulsive I wanted to leave immediately. The store was closed was so repulsive I wanted to leave immediately.	disgust	synthetic_variant	Sentence	Missing Object	0
64	I accidentally called someone by the wrong name in front of everyone. I wanted I can't stop thinking about how I misunderstood the situation. So embarrassing.	embarrassment	synthetic_variant	Sentence	Missing Object	0
65	Today I worked. It was a pretty normal day. Nothing special happened today. Just routine tasks. Nothing special happened today. Just the usual stuff.	neutral	synthetic_variant	NA	NA	0
66	I can't shake this sadness from I can't shake this sadness from the news. I'm heartbroken about the outcome.	sadness	synthetic_variant	Sentence	Missing Object	0
67	I have the exam coming up and I'm really anxious about it.	nervousness	synthetic_variant	NA	NA	0
68	I'm terrified that rejection might occur soon. me on edge and I can't relax.	fear	synthetic_variant	Sentence	Missing Subject	0
69	I went through my usual routine of cooking and cleaning. My day consisted mainly My day consisted mainly of my to-do list.	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
70	I'm so proud that I accomplished my proposal today! so proud that I accomplished my proposal today! I'm really satisfied with how I handled learning new software.	pride	synthetic_variant	Sentence	Missing Subject	0
71	Today that person told me mixed messages and I'm	confusion	synthetic_variant	Sentence	Missing Object	0
72	I was completely caught off guard when I won something. I was completely caught off guard when I won something.	surprise	synthetic_variant	NA	NA	0
73	I finally managd to solve the problem and it feels amazing! Today I proved to myself that I can overcome this challenge.	pride	synthetic_variant	Word	Missing Letter	1
74	meeting got cancelled happened and now I'm too mortified to show my face. My plans fell through happened and now I'm too mortified to show my face.	embarrassment	synthetic_variant	Sentence	Missing Subject	0
75	I'k terrified yhat failure might occyr soon.	fear	synthetic_variant	Word	Adjacent Key	3
76	Everything about today was perfect, especially our conversation. Everything about today was perfect, especially our conversation. I spent time with my partner and it made my whole day better.	joy	synthetic_variant	NA	NA	0
77	I was completely caught off guard when I won something. Out of nowhere, an unexpected visitor showed up and I was stunned!	surprise	synthetic_variant	NA	NA	0
78	Something strange happened with work and I'm not sure what to think. I don't understand why traffic was terrible. Nothing makes sense anymore.	confusion	synthetic_variant	NA	NA	0
79	I'm stressed out about my schedule and can't seem to calm down. have the exam coming up and I'm really anxious about it.	nervousness	synthetic_variant	Sentence	Missing Subject	0
80	I can't believe that person did that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	NA	NA	0
81	I can't wait for the concert! It's going to be amazing! I made a new friend and I'm so pumped about it! Just thinking about starting my new hobby makes me grin from ear to ear!	excitement	synthetic_variant	NA	NA	0
82	I spent time with my pet and it made my Good weather happened and I couldn't stop smiling.	joy	synthetic_variant	Sentence	Missing Complete Thought	0
83	I'm beyond excited because my hard work finally came through!	excitement	synthetic_variant	NA	NA	0
84	The thought of the unknown keeps me up at nigyt. The company downsizing has me on eege and I can't relax.	fear	synthetic_variant	Word	Adjacent Key	3
85	I'm beyond excited because my proposal finally came	excitement	synthetic_variant	Sentence	Missing Complete Thought	0
86	I'm terrified that rejection might occur soon. I'm terrified that failure might occur soon.	fear	synthetic_variant	NA	NA	0
87	Everything about today was perfect, especially the meal. Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	NA	NA	0
88	I feel accomplished after comppeting cleaj the house.	pride	synthetic_variant	Word	Adjacent Key	3
89	I couldn't believe it when I received an award!	surprise	synthetic_variant	NA	NA	0
90	The meeting got cancelled happened and now I'm too mortified to show my face. I wish I could take back how I reacted from	embarrassment	synthetic_variant	Sentence	Missing Complete Thought	0
91	I accidentally called someone by the wrong name in front of everyone. I wanted to disappear. Today I made such a fool of myself when I mixed My plans fell through happened and now I'm too mortified to show my face.	embarrassment	synthetic_variant	Sentence	Missing Object	0
92	has me on edge and I can't relax.	fear	synthetic_variant	Sentence	Missing Subject	0
93	The meeting got cancelled left me wondering what's really going on. The meeting got cancelled left me wondering what's really going on. strange happened with my relationships and I'm not sure what to think.	confusion	synthetic_variant	Sentence	Missing Subject	0
94	Because i was trying to meet the deadline but unexpected interruptions	anger	synthetic_variant	Sentence	Missing Complete Thought	0
95	Today I ran errands. It was a pretyt noraml day.	neutral	synthetic_variant	Word	Scrambled Letter	2
96	The way that person behaved was disgusting. I can't even The way that person behaved was disgusting. I can't even think about it. I'm still grossed out by witnessing that scene from earlier.	disgust	synthetic_variant	Sentence	Missing Object	0
97	I'm really satisfied with how I handled growing my leadership skills. If today i proved to myself that	pride	synthetic_variant	Sentence	Missing Complete Thought	0
98	Today I proved to myeslf that I can achieve my goal. I'm so proud that I accomplished my hard owrk today!	pride	synthetic_variant	Word	Scrambled Letter	3
99	I don't know what I'll do if my fears actually happens. I'm terrified that rejection might occur soon.	fear	synthetic_variant	NA	NA	0
100	I spent time with my best friend and it made my whole day better. Everything about today was perfect, especially the sunset.	joy	synthetic_variant	NA	NA	0
101	I'm really satisfied with how I handled balancing independence and togetherness. Today I proved to myself that I can achieve my goal.	pride	synthetic_variant	NA	NA	0
102	The thought of public speaking keeps me up at night.	fear	synthetic_variant	NA	NA	0
103	Traffic was terrible, which, which, which left me wondering what's really going on. I tried to figure out their reasoning but I just can't wrap my head around it.	confusion	synthetic_variant	NA	NA	0
104	made such a fool of myself when I said something stupid. I wish I could take back my outfit choice from today. The store was closed happened and now I'm too mortified to show my face.	embarrassment	synthetic_variant	Sentence	Missing Subject	0
105	I don't understand why I got bad news happened. Nothing makes sense anymore. I don't understand why I ot bad news happened. Nothin makes sense anymore.	confusion	synthetic_variant	Word	Missing Letter	2
106	I'm terrified that rejection might occur soon. The thought of public speaking keeps me up at night. I'm really worried about failing the exam. What if something bad	fear	synthetic_variant	Sentence	Missing Object	0
107	I encountered someone's poor hygiene and it made me feel sick to my stomach. The way my colleague behaved was disgusting. I can't even think about it. The bad news was so upsetting I wanted to leave immediately.	disgust	synthetic_variant	NA	NA	0
108	I was trying to finish my project but lack of time ruined everything. I'm livid.	anger	synthetic_variant	NA	NA	0
109	Out of nowhere, an unexpected visitor occurred and I was stunned! I couldn't believe it when my idea was chosen took place! Out of nowhere, goor news occurred and I was stunned!	surprise	synthetic_variant	Word	Adjacent Key	1
110	I was completely caught off guard when I won something. Today brought an unexpected twist with overnight sensation.	surprise	synthetic_variant	NA	NA	0
111	Something strange happened with the project and I'm not sure what to think.	confusion	synthetic_variant	NA	NA	0
112	I spent most of the day	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
