text	label	source	textid
I slept great yesterday, i got a new box spring set up and holy crap it makes such a difference, I slept like a baby and i woke up feeling very refreshed. It set a great tone for yesterday.	neutral	journal	0
Went to work out at the gym and it was leg day, liked the time i spent.	joy	journal	1
I went to a doctors appointment and was feeling anxious about how my general health was. After my checkup and finding out that I was in good health, I felt happy and relieved about the results.	nervousness	journal	2
At night we got to watch a movie all together as a family. We cuddled and made popcorn and enjoyed eachothers company.	pride	journal	3
I spent a lovely time with my romantic partner. She and I had a very enjoyable discussion that was serious at times yet filled with laughter. I felt lighthearted after the busy day that I had just from talking and laughing with her. She manages to make me feel happy or calm whenever I've had a long day. Talking with her never gets boring because I honestly have no idea what we'll talk about. Our topics are wide and varied, and I feel like I'm constantly learning something new whenever I am with her. She's a joy to be around, and she make me feel loved.	pride	journal	4
I went to sleep after the appointment, much earlier than usual.  The tests and stress of it all exhausted me.	neutral	journal	5
My whole day is ruined if I don't sleep properly so making sure I go to bed on time and be well rested is super important.	neutral	journal	6
I had a great hamburguer at a new place I went  to have lunch.	excitement	journal	7
I tried to do some exercise yesterday beause i'm gaining weight, but don't have the motivation to do so.	disgust	journal	8
I was doing some golf and I had a pretty good day the score I had was 3 under par and that is actually one of if not my gest	neutral	journal	9
My health is not in good condition. I am still young but my dentals are terrible. I have arthritis and muscle pains. I've lived this life to years now already.	anger	journal	10
Work was typical.  I was frustrated by the stupid paperwork and other crap that I have to do instead of just being allowed to do my job.	nervousness	journal	11
After being with my boyfriend, I slept so good last night and I really needed the sleep as I hadn't had enough lately.	neutral	journal	12
teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!	anger	journal	13
I went to bed around midnight and knew I was going to have to get up with my toddler in the morning. I was worried I wouldn't get much sleep and I would be grumpy, but she slept much later than usual.	surprise	journal	14
I had sushi yesterday. It was good. It made me happy. It was tasty. It put me a in a good mood.	joy	journal	15
I have been trying to get more exercise lately and yesterday I took two very long walks, which I am feeling good about.  I need to keep that up because it will help with my weight loss and it will also make me feel better in general.	joy	journal	16
I have a big bill I need to pay in a few days, so after work I tried really hard to make money on mTurk to make up the difference.	nervousness	journal	17
I had dinner with my mother and sister. We had a lot of fun.	joy	journal	18
Actually able to relax and get some sleep now that my mom is out of the ICU and seemingly well on the road to recovery	neutral	journal	19
I did my exercises at the club house. Did 2.2 miles on the treadmill and then lifted weights. I felt really strong and energized today. A really good work out day.	pride	journal	20
I was excited about going to work.  I satisfied that I was able to get a lot accomplished.  Being able to work with my team and complete our project made me proud.	excitement	journal	21
Yesterday we grilled salmon for dinner, even though it was 40º F outside and I had bought the salmon a week ago. We took a chance on it being bad, but it was delicious and no one got sick. I'm looking forward to grilling salmon again.	surprise	journal	22
I got to bed close to the time I wanted to. That's challenging some days due to house work.	neutral	journal	23
Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.	disgust	journal	24
I had a great breakfast today. It gave me fuel for the day and tasted amazing.	joy	journal	25
I worked out for 60 minutes before going to work. The work out was tough but tough workouts make me feel calm and confident.	neutral	journal	26
Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays	excitement	journal	27
I exercised my legs today and felt proud.	pride	journal	28
At my parents house they made a delicious steak dinner with sweet potatoes salad and a dinner roll and it was wonderful to have such a delcious meal while surrounded by family.	joy	journal	29
My family is the most important thing in my life.  I makes me feel joy.	joy	journal	30
The most salient aspect of my day during the afternoon, was spent with a close friend at a nearby coffee shop. I felt very relaxed and at ease enjoying a lovely exchange.	neutral	journal	31
We went grocery shopping and I got some really good food we needed and no junk this time. That makes me feel good about it most. I am going to be healthy and loose weight now.	neutral	journal	32
i am very healthy	excitement	journal	33
My husband is out of town for a couple of days...I don't like it when he needs to leave (to take care of our cottage); I am more productive when he is here (odd, I know, but I tend to be rather aimless when he is gone, at least on the first day.) But we talked in the evening and that settled me, and he is coming home today, so feeling more upbeat.	joy	journal	34
Mostly I do office work and hanging out with people to tell others about Jesus in our day and ages. Carrying this message of acceptance and concern gives meaning to my own life.	surprise	journal	35
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.	excitement	journal	36
I was attempting to read a book and couldn't oncentrate on it at all. I felt like I couldn't remember the last sentence I had read.	embarrassment	journal	37
I got to spend time outside walking with my wonderful girlfriend. I felt very loved and appreciated just by being with her.	pride	journal	38
That small things dont matter. That you should be thankful for the person that loves you and that you love.	fear	journal	39
I got to watch some tv with friends. We watched our favorite show which has been on for almost twenty years. We laughed and had a good time.	joy	journal	40
I am very thankful for my family. I am glad to be with them each day. It makes me think of all the things I cherish.	neutral	journal	41
I just got a bonus from my supervisor for my project. So happy because my hard work paid off!	excitement	journal	42
Though it was very tiring, i did do a bit more walking then I had been the past few days	pride	journal	43
Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.	excitement	journal	44
I spent a lot of time with my wife and my little daughter	joy	journal	45
Yesterday was the day we go for a church service at a local nursing home.  Our pastor play music and the people who come sing along.  They really appreciate us being there.  It is good to worship  God with this group of people.	excitement	journal	46
Well, in the afternoon I was able to meet up with my wife and son. We met at a local street taco place and enjoyed a good meal.	joy	journal	47
I love falling asleep after having a nice big meal!  I feel very warm and contented and it's easy to sleep!	neutral	journal	48
I got chipolte and I loved it. It was very comforting after a long day.	joy	journal	49
It was a great workout that made me feel worthwhile.	pride	journal	50
My husband is the most important thing in my life. He makes me feel loved and secure.	neutral	journal	51
I attended a study group with friends. I looked forward to going and had a great time. I was able to say things that were on my mind and to listen to others as well. Very encouraging.	surprise	journal	52
Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.	neutral	journal	53
For God allow me to live another on this earth with my love one I am glad and feel blessed.	neutral	journal	54
My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.	neutral	journal	55
I went to work yesterday, like I always do, but this day was kind of different. I felt like I got a lot done, so I felt really proud and satisfied. I was also calm for most of the day, which helped me focus on work and probably contributed to how productive I ended up being.	pride	journal	56
Took my wife to dinner last night to celebrate my accomplishments. It felt great to finally have the time to spend with her.	excitement	journal	57
Every morning I take my son to school and husband to work, then head home to work my job and take care of the household. I most look forward to them returning home to me, so we can spend the evening together. I missed them, as always and was so happy when they got home!	pride	journal	58
I have changed some dietary habits since the new year and someone told me yesterdat that I was just a little thinner.  I have a ways to go  but it is a good start	excitement	journal	59
I spent the day with my friends going out to eat for dinner. It wss very fun and memorable of a day for me.	excitement	journal	60
Went grocery shopping with my mom. Got a flu shot while I was there.	joy	journal	61
Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.	pride	journal	62
I ate to much junk food yesterday	embarrassment	journal	63
"I did extra Turking yesterday in addition to my regular work, and I got a wonderful surprise. I did a couple of odd typing type hits and when I checked e mail later I saw I earned 2 bonuses, 1 was 5.50 and the next was for 8.25. This was a great ""work"" type surprise."	excitement	journal	64
God always there to help	pride	journal	65
I got a good hour of cardio in which made me feel good because I had not been able to for a few days. I was very pleased with this.	pride	journal	66
My team did a great job yesterday. I was able to report sales numbers for every single rep in my office yesterday. Everyone is on board to reach their quarterly/monthly goals.	pride	journal	67
I eat healthy. I had creal for breakfast, a peanut butter sandwich for lunch and goulash for dinner. I was pleased that  didn't eat any sweets yesterday.	neutral	journal	68
Work is important as it gives me challenges in my career. The things I accomplish at work gives me a feeling of satisfaction because I am able to do my job to the best of my ability.	pride	journal	69
I was out on my run and felt really great. Was about to run my fastest mile ever. It was such a rush of emotion to look down and see my watch read 7:55. My previous best mile was 8:45, so I shattered my previous best mile performance.	pride	journal	70
I had to prepare a meal for 300 people. We had suppers at church that I am in charge of. It is a big job but it brings a sense of accomplishment.	pride	journal	71
I made a big dinner for myself last night, and it really hit the spot. I really enjoyed and savored my meal. I think I needed a good helping of comfort food last night, because my day was busy and I needed to replenish nutrients.	joy	journal	72
I took my time and on my own went to a medical facility in my health program for x-rays as followup.	pride	journal	73
I was proud of myself for continuing my daily exercise routine, but at the same time feeling bored with my workout music. I felt somewhat frustrated that I had hit a plateau with weight loss and decided to add some different weights to my usual routine.	pride	journal	74
A two mile morning walk in invigorating circumstances, coolness/wind, made me satisfied that I did so and proud as well.	excitement	journal	75
We had chicken and mushroom enchiladas. I was happy, nostalgic, and satisfied. My sister used to be a missionary to Paraguay and knew how to cook the local fare like empanadas and tacos.	joy	journal	76
I have fitness goals and working towards those goals really makes my day. Working towards these goals provides me great satisfaction.	pride	journal	77
My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.	pride	journal	78
Yesterday, I had a great conversation on the phone with my old friend, Matt.  We made plans for Friday night to get together and catch up.	neutral	journal	79
I also made myself breakfast after my walk which was 2 eggs, toast, and bacon. I felt good and ready for the rest of the day.	joy	journal	80
God is my everything, He not only created me, but He also sustains me. He gives me a reason to believe and hope even when things look grim.	surprise	journal	81
The salient 'thing' wasn't so much about God, but about the Creation/ Intelligent Design/ Evolution topics. During some down time, I browsed a news article link, which lead me to a website and some related articles, which lead me to a topic and place nearby which contains one of the largest fossil records, records which refute the basic un-questioned and false aspects of Darwin's evolutionary theories.  A vacation plan (to visit these fossil-rich areas) immediately came to mind!	surprise	journal	82
For dinner I had a Velveeta Gold Skillet. I never ever make this and now I know why. It was horrible. It tasted like puke. It was really gross and you could taste that it was not actually food. My family did not like it and I will not make it again.	disgust	journal	83
It felt good to be able to work such a great job and take care of myself.	pride	journal	84
I felt quite excited satisfied and happy to complete my exercise routine.	excitement	journal	85
I had a good meetup with good friends yesterday. I just caught up with them mostly.	excitement	journal	86
There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.	surprise	journal	87
I finally finished a hand beaded bracelet that I have been trying to learn for over a month. It made me feel great to have it done. It looks really cute too.	excitement	journal	88
I talked with my son online in The Netherlands. It was good to see him again.	excitement	journal	89
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing	joy	journal	90
I was very excited to eat my leftovers for lunch. looked forward to it from the morning	excitement	journal	91
Yesterday for dinner I had a small bowl of some southwestern chicken soup my wife had made. I wanted to try it but just wasn't that hungry what with still feeling sick (not stomach sick but still not much appetite). I tried it it was good I couldn't properly enjoy it. Hence the happy and sad.	sadness	journal	92
I stretched and walked around a lot. I had hurt my back last week, so I'm making it a goal to stretch and not overwork myself. I was satisfied with the amount of exercise I was able to do.	neutral	journal	93
I got to spend time with my cousins Rachael and Emily.  We are very close and we enjoy watching television shows together.  We have snacks and laugh like there's no tomorrow.  I love them so much	joy	journal	94
I am proud of myself for sticking to my diet. It has been a hard week but I have stuck to my goals. I am getting kind of frustrated with the blandness of my food but I must eat it to lose weight.	pride	journal	95
I had been trying to sell a few things and was finally able to sell a few of them yesterday. I had been talking with that person for a while so I was excited for everything to fall into place as I wanted to make money and get rid of a few things and it killed two birds with one stone.	excitement	journal	96
When I have arrived home, my daughter was waiting for me patiently. At least that how she look like but I felt that was excited and eager to go outside and play. I am her best playmate. Well, the dog too, our German shepherd.	neutral	journal	97
I learned that a band I really like is coming to town, so I purchased tickets. I'm really excited to go!	excitement	journal	98
yesterday when I got home and I watched classic Doctor Who on twitch.tv. It featured Tom Baker as the Doctor. I really did enjoyed it.	joy	journal	99
My friend's mother passed. I learned about it and said special prayers and planned on the bouquet I would order today.	sadness	journal	100
I got done with work a bit early yesterday and that made me excited as it gave some free time to do a few things that are more fun.	excitement	journal	101
I knew God would help me through whatever was going on and so I didn't have to be anxious	neutral	journal	102
I also got to cook with my friends. I got to eat the tasty food and these are some of my favorite things to do.	excitement	journal	103
I received a response from a possible new job.  They told me to go ahead and fill out an application because they said I was someone they were looking for to join them.  I am hopeful that this will turn into a good thing!	nervousness	journal	104
Made gyros for dinner, forgot feta but was able to pick some up. It was great.	excitement	journal	105
I made $25 on AmazonTurk yesterday,while my goal is $10.I was happy.	excitement	journal	106
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.	joy	journal	107
I had dinner with a friend.  It was fun to visit and catch up.  Just having someone to talk to is important for people.	joy	journal	108
Again as a government employee I'm at home a lot more than normal.  I'm trying to find the best use of my time and have ensured I stay physically active.  This keeps my confidence and self-esteem at high levels.	excitement	journal	109
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed	sadness	journal	110
Love how Jesus pulls and pushes me through anything. He is my strength.	joy	journal	111
I have a time for prayer in the morning and it helps me to stay calm throughout the day no matter what may happen. It helps to be able to put your greatest fears and problems into a better perspective.	neutral	journal	112
I'm always happy to see my family at the end of a hard day. They really help to bring my mood up and it helps to take my mind off of my problems.	joy	journal	113
Made a massive pot of spaghetti and fed the family last night. It was so good having them eat with us.	joy	journal	114
